prompt,response,
How long can my baby's umbilical cord blood stem cells be stored?,"Research has shown that cord blood which has been processed according to international standards and stored at cryogenic temperatures can be stored indefinitely and still remain viable4. 4 Karlsson J, Toner M. Long-term storage of tissues by cryopreservation: critical issues. Biomaterials. 1996;17:243-256.",
Can I store my baby's cord blood if my blood sample is tested positive for Hepatitis B?,"You may still continue to store your baby's cord blood (with additional consent given to Cordlife), or elect to discard the umbilical cord blood unit.  This is because Cordlife conducts two different tests for Hepatitis B virus (HBV) on maternal blood, namely:                                                                  Hepatitis B Surface Antigen (HBsAg).                                                                                                                                                                                                   Hepatitis B Core Antibody (Anti-HBc (Total)).                                                                                                                                                                                     Usually, the attending transplant physician will make the decision whether to use an umbilical cord blood unit where the maternal blood was tested positive for Hepatitis B for transplant, based on various factors particular to the patient, the cord blood unit intended for use, and the availability of other HLA-matched donor.",
How much does it cost to save my baby's cord blood?,"Click here to find out more about our price plans. Alternatively, please call us at our 24-Hour Hotline (65) 6238 0808 or email info@cordlife.com for our latest price plans.",
How do I enrol?,"Contact us at our 24-Hour Hotline (65) 6238 0808 to make a non-obligatory appointment with our friendly Cord Blood Banking Consultants.                 *If you are due within the next 4 - 6 weeks, we strongly recommend you to contact us immediately for enrolment because this will ensure all necessary steps are completed before your baby's arrival.",
What is Cordlife Preferential Plan?,"As a gesture of our appreciation to our Cordlife parents, we've introduced the Preferential Plan which allows parents to prepay the balance of their annual fees. Multiple payment modes are available; including the use of your child's Child Development Account (CDA) for this one-time payment. Contact us to find out more about the full benefits.",
How would Preferential Plan benefit a Cordlife Parent like me?,"As a gesture of our appreciation to our Cordlife parents, we've introduced the Preferential Plan which allows Cordlife Preferential Plan lets you enjoy: Protection against increases in Annual Instalment Fees. Protection against hikes in Goods and Services Tax (GST). The convenience of a one-time payment for the remaining balance of annual instalment fee. Multiple payment modes such as Child Development Account (CDA), credit card interest-free instalment plans & etc.                                                           Contact us to find out more about the full benefits.",
What is my balance amount for payment with Cordlife?,"In general, it is tabulated as S$250 (subject to prevailing GST) per year, multiplied by the outstanding number of years till your child turns 21 years old. Please email us at preferential@cordlife.com or call us at 6238 0808 to check your latest balance.",
I have just received this Preferential Plan Invitation Letter. What should I do next?,"You may email us at preferential@cordlife.com or call us at 6238 0808 to inform us on your wish to proceed with the Preferential Plan and the latest balance amount will be presented to you.

Alternatively, the Change of Plan form can be downloaded here. Our Cordlife Customer Relations Consultant will contact you within 3 working days once we have received the completed form.

Please mail the completed original Change of Plan form to:

Cordlife Group Limited
Customer Relations (Preferential Plan)
1 Yishun Industrial Street 1
A'Posh Bizhub
#06-01/09
Singapore 768160",
What are the available modes of payment?,"You can opt for the following:

Cheque payment
One-time Credit Card payment (Masters or Visa Only)
OCBC, UOB & DBS Credit Card with interest-free instalments up to 24-months (Masters or Visa Only)
CitiBank Credit Card with interest-free instalments for 12-months (Masters or Visa Only)
Children Development Account (CDA)
(Kindly note that clients choosing either the UOB or OCBC instalment plans will have to visit our office for payment processing.)",
What happens after the full 21-years of storage?,The ownership of the cord blood will be transferred over to your child once he/she reaches the legal adult age of 21 years and upon the renewing the agreement. Your child will be prompted to continue storage thereafter at the prevailing fees.,
What happens after payment for the Preferential Plan is completed?,"Once the payment has been completed, Cordlife will send a confirmation letter to you. This letter confirms that the obligations, terms and conditions remain as per the original Service Agreement you signed with us. This letter also reiterates your revised refund policy",
What if I elect for Cordlife Preferential Plan and then terminate the Service Agreement before the full 21 years?,"In the event that that the Agreement you signed is prematurely terminated for valid reasons before the entire contractual period of 21 years (for example: transplant's use), Cordlife will accord a pro-rated refund at nominal value.",
What happens if Cordlife ceases operations?,"The continuation of storage of your child's umbilical cord blood stem cells is of utmost importance to us. In the unlikely event that Cordlife ceases its operations, Cordlife may assign its rights under the Agreement to another provider of cord blood banking storage facilities as long as that provider meets the necessary standards at the relevant time for licensing with the Ministry of Health (MOH), Singapore or of a comparable standard outside of Singapore.",
What is Cordlife Care360° Safeguard Programme?,"The Cordlife Care360° Safeguard programme is a comprehensive safeguard designed to give you and your child extra peace of mind. The Care360° Safeguard programme allows you and your family to enjoy:                                                                               Cordlife Transplantcare:360°                                                                                                                                                                                      Gifting Your Family a Peace of Mind at Every Step of the Way                                                                                                                           Cordlife provides partial coverage* of your child's medical costs for hospital services when a cord blood transplant is required.   Cordlife Worldwide:360°                                                                                                                                                                                Limitless Protection for You and Your Family                                                                                                                                                    Cordlife will deliver your child's cord blood unit to any location in the world at no additional fee, should an autologous or allogenic transplant be required*.                                                                                                                                                                       Cordlife Protect:360°
Peace of mind for You and Your Family
Cordlife, together with an international insurer, will waive off your child's future storage payments should you or your spouse pass away, or suffers from Total and Permanent Disability (TPD)*. Depending on the payment plan you selected, your family may also receive a token fund*.                                                                                                                                                                            Cordlife Pledge:360°
Our Pledge to Quality Processing and Storage Standards
Cordlife guarantees you a suitable match or S$50,000 to cover medical costs if the cord blood unit loses it vialbility at point of transplant^.                                                                                                                                                                                                         Cordlife Assure:360°
Assurance Tests prior to a HSC Transplant
Cordlife will cover the costs of matching (HLA resolution test) and viability (CFU assay) prior to Haematopoietic Stem Cell (HSC)  transplant*. This is our assurance to you if the need to release of your child's cord blood for a transplant ever arises.         Cordlife Guard:360°
Safeguarding You and Your Family
Cordlife has taken added insurance coverage, to safeguard you and your family from financial loss that results from direct malpractice*.                                                                                                                                                                                                       Cordlife Shield:360°                                                                                                                                                                                              Tender Loving Care for You and Your Family
Cordlife provides coverage for possible pregnancy and/or childbirth complications^, so that you and your family can have an added peace of mind.
^Conditions apply.

*Applies to Cordlife Group Limited enrolments starting on 7 September 2011. Kindly note that the above-mentioned is general information only. Please look at the Cordlife Service Agreement for all the details and the rules. Cordlife Group Limited reserves the right to amend or cancel any of the benefits listed above without prior notice. International quality standards may differ between the time your baby's cord blood unit is enroled and the time it is released for transplant. All reasonable efforts will be made to adhere to the prevailing standards at the time of the release of your baby's cord blood unit. HLA testing and CFU assay may or may not cease to become a mandatory quality check.",
I am delivering overseas but storing with Cordlife Singapore. Am I eligible for the benefits of Cordlife Care360° Safeguard Programme?,Cordlife Care 360° Safeguard programme is only applicable to Singapore deliveries.,
"I am delivering in Singapore and storing my baby's cord blood with Cordlife Singapore. However, I'll be returning to my country after my delivery. Am I eligible for the benefits of Cordlife Care360° Safeguard programme?",We are pleased to inform that Cordlife Care 360° Safeguard applies to all Singapore deliveries,
I am an existing Cordlife Parent. Will the benefits of Cordlife Care360° Safeguard programme be extended to my current account(s)?,"At this moment, only clients who enrol with Cordlife from 7 September 2011 can enjoy the benefits of Cordlife Care 360° Safeguard programme.",
Will the benefits be extended to the adoptive parents?,"Once the adoptive parents receive the letter of the adoption for the child, they will be covered under Cordlife Care 360° Safeguard programme.",
"My husband and/or I have an existing health condition. Am I still eligible for the benefits, in particularly for Protect:360°?","If the child is diagnosed with stage 4 cancer at the time of enrolment with Cordlife, Protect 360° coverage will begin only on the child's second birthday. Kindly note that our international insurer will conduct investigations prior to any claim disbursement.",
"What is an example of an ""approved HSCT""?",Our HLA tests are performed by Health Sciences Authority (HSA).,
Who performs the CFU Assay?,The cord blood Our CFU testing will be performed by the Singapore Cord Blood Bank (SCBB). They are the only ones in Singapore who perform CFU assays.,
How do I claim for the token fund under the Cordlife Protect:360° benefit?,The death certificate must be submitted to Cordlife in the event of the death of either biological parent. Cordlife will then determine the token sum payout based on the terms and conditions in place at the time.,
What if both my husband and I met with a fatal accident? What kind of pay-out will my child receive?,"The coverage is only for one biological parent; hence, the payout will only be based on one death.",
"If I (the biological mother) dies during childbirth and cord blood has been collected, will my husband be eligible for Cordlife Protect:360°?","Yes, as long as all required documents have been signed, your husband will be covered under Cordlife Protect:360°.",
Will you inform us if the benefits have been changed or revoked?,Cordlife reserves the right to change the terms and conditions of Cordlife 360°. Parents will be informed if there are any changes.,
"I enroled after 7 September 2011 for my first child. If I enrol my second child with Cordlife in the future, will we be covered under our second account with Cordlife as well?",Yes you will. Both your accounts will be covered under the Cordlife Care360° Safeguard programme.,
What happens in the event of a divorce?,"In the event of a divorce case, only the legal custodian will be covered under this programme.",
What is a Child Development Account (CDA)?,"The CDA* is a special savings account for children to help build up the savings that can be spent on approved uses.

Your child’s CDA can be opened at any OCBC Bank, DBS Bank or UOB Bank branch.

You can deposit cash into the CDA any time until 31 December of the year your child turns 12 years of age.

For more information on CDA, please visit www.babybonus.msf.gov.sg or ask our friendly consultants today!

*A child is eligible to apply for a CDA if he/she is:

Born on or after 17 August 2008
A Singaporean citizen (or becomes a citizen before the age of 12)
The parents are legally married",
How does the Child Development Account (CDA) work?,"The CDA has two components: the CDA First Step Grant and the Government Dollar-for-Dollar Matching.

Under the CDA First Step Grant, parents will receive an initial amount of $3,000 (from the Government’s existing contribution caps) which will be deposited into your child’s account.",
What is CDA First Step Grant?,"The CDA First Step Grant is new grant of $3,000 for eligible Singaporean children born from 24 March 2016. It is paid into the child’s CDA and forms part of the existing overall Government contribution cap.

Singaporean children born from 24 March 2016 who are Singaporean Citizens (or become a citizen before turning 12 years old) and have lawfully married parents, are eligible for the CDA benefits.",
How will the CDA First Step Grant affect the Government Dollar-for-Dollar Matching for my child?,"The CDA First Step Grant is part of the current government cap.

Beyond this grant, parents who contribute to the child’s CDA will continue to receive dollar-for-dollar matching from the Government, up to the existing Government co-matching contribution caps. For more information on CDA, please visit www.babybonus.msf.gov.sg or ask our friendly consultants today!",
Who is eligible for the Child Development Account (CDA)?,"A child is eligible if he/she is:

Born on or after 17 August 2008
A Singaporean citizen (or becomes a citizen before he/she turns 12 years old)
The parents are legally married",
Why should I choose to use Child Development Account (CDA) to pay for my child's cord blood banking service?,"You may utilise your child’s CDA First Step Grant of an initial amount of $3,000 (which comes from the Government’s existing contribution caps) and the Government Dollar-for-Dollar Matching (for parents who continue to save beyond the initial amount) to subsidise both your initial one-time enrolment fee, and subsequent annual feels till your child turns 12 years old*.

*Terms and conditions apply",
What should I do if I want to use Child Development Account (CDA) to pay for my child's cord blood banking service?,"Upon enrolment with Cordlife, you will be given different payment options to choose from. If you would like to use your child’s CDA to pay for Cordlife’s cord blood banking service, please kindly indicate that option.

In the application form, you may choose to sign up with either:

OCBC bank application form
DBS bank application form
UOB bank application form
Along with your application form, you will need to fill up an Authorisation Letter to authorise Cordlife to deduct the payment from your child’s CDA.

This is to be done only once for each CDA. You need not resubmit the forms to Cordlife for your subsequent billing.",
What are the required documents to provide when I apply for my inter-bank GIRO Application?,"You will be required to submit a copy of your child’s birth certificate, the Trustee’s name and your child’s Child Development Account (CDA) number to Cordlife.",
Do I need to pay an enrolment fee when I opt to use my child’s Child Development Account (CDA) to pay for Cordlife’s cord blood banking service?,"No, you are not required to pay upon enrolment. However, we will request for your credit card details.

In the event that your child’s CDA application is not approved by the bank within two (2) months from your child’s date of birth, Cordlife will charge the payable fees to the credit card provided.",
Is there a limit on the amount that I can use for my Cordlife’s cord blood banking service through my child’s Child Development Account (CDA)?,"No, there is no limit. You can use your child’s CDA which includes the CDA First Step Grant of $3,000 as well as the Government Dollar-for-Dollar Matching to subsidise your child’s cord blood banking service with Cordlife.",
How long can I make use of the amount in my child’s Child Development Account (CDA)?,"You can utilise the cash in the CDA until 31 December of the year your child turns 12 years of age.

After which, the account will be automatically converted into a Post-Secondary Education Account (PSEA) for your child.",
I am an existing client of Cordlife. Can I use my child’s Child Development Account (CDA) to pay for subsequent annual fees?,"Yes, you may. You may choose to open an account with either OCBC Bank, DBS Bank or UOB Bank.

Kindly download and fill up any of the following application forms:

OCBC bank application form
DBS bank application form
UOB bank application form
In addition, you will need to fill up an Authorisation Letter to authorise Cordlife to deduct the payment from your child’s CDA.

Please send both the original completed and signed forms to Cordlife at the address below for processing:

Cordlife Group Limited
Finance Department (CDA Payment)
1 Yishun Industrial Street 1
A'Posh Bizhub
#06-01/09
Singapore 768160",
Can I use my child's Child Developement Account (CDA) to pay for his/her sibling's cord blood banking service?,"Yes, you can use your child's CDA to pay for his/her sibling's cord blood banking service. Kindly provide the birth certificate of his/her sibling for verification.",
What do I need to do if I wish to terminate my inter-bank GIRO used for my child’s Child Development Account (CDA) with Cordlife?,"If you wish to terminate your inter-bank GIRO used for your child’s CDA with us, please contact the bank which you opened the CDA with, and inform Cordlife at 6238 0808 or email customercare@cordlife.com.",
Where can I download the inter-bank GIRO and Authorisation form for my child’s Child Development Account (CDA) with Cordlife?,"You may download the inter-bank GIRO and Authorisation Form by clicking on one of the links below:

OCBC bank inter-bank Giro application form
DBS bank inter-bank Giro application form
UOB bank inter-bank Giro application form
Authorisation for CDA",
Are pregnant mothers more susceptible to contracting COVID-19?,"According to the American College of Obstetricians and Gynecologists (ACOG) as well as the Centres for Disease Control and Prevention (CDC) of the United States, there is no evidence to suggest that pregnant mothers are more at risk of getting infected with COVID-19.1,2

However, pregnant mothers who have viral respiratory infections may be at greater risk of developing severe symptoms. 2 Given that the symptoms of COVID-19 are similar to those of many respiratory infections, see a doctor immediately if you are experiencing symptoms such as cough and fever.

If you are pregnant during the COVID-19 pandemic, it is absolutely crucial to observe personal hygiene by washing your hands with soap frequently and also avoid travelling to crowded places. If travelling is essential, always wear a face mask.",
Can the COVID-19 virus be transmitted to the unborn baby during pregnancy?,"Evidence suggests that COVID-19 is mostly spread from person to person through close contact with air droplets that carry the virus and are released when an infected person coughs or sneezes. According to the CDC, mother-to-child transmission of COVID-19 during pregnancy is unlikely.1

In a recent case study of nine pregnant women with COVID-19 who had caesarean deliveries, none of the babies tested positive for COVID-19. In addition, the virus was not detected in cord blood, throat swabs, amniotic fluid, or other maternal samples collected.3

However, early research from China suggests that the COVID-19 virus could be passed from mother to child after the baby is born. According to a widely cited and shared research letter from Wuhan, China, COVID-19 was found in three out of 33 babies born to COVID-19-positive mothers through caesarean delivery. Even though the three newborns showed symptoms of fever and pneumonia right after birth, all of them have recovered and were tested negative for COVID-19 within a span of one week.4

Hence, it can't be ruled out that COVID-19 could be passed on to the baby through close contact. In this case, the mother may want to consider getting additional help to care for the baby until she is fully recovered.",
Will my baby’s cord blood contain the COVID-19 virus?,"As far as we know, your baby’s cord blood will not contain the COVID-19 strain, even if the mother is a carrier. Typically, when a mother is sick with a respiratory virus, it is very rare for the virus to be present in the cord blood.5,6,7

A retrospective study conducted in Wuhan, China, on nine pregnant women in their third trimester who all had a history of epidemiological exposure to COVID-19 has also provided further reassurance that the virus is unlikely to be present in cord blood and birth tissues. The study's nine livebirths were all COVID-19 negative, with no severe perinatal asphyxia. 3 Perinatal asphyxia is defined as a lack of blood flow or oxygen to or from the foetus in the period immediately before, during, or after the birth process.8 Furthermore, amniotic fluid, cord blood, and neonatal throat swab samples of the newborns were also COVID-19 negative at the point of birth.3

A recent study on 38 pregnant women and their newborns in China assessed the effects of COVID-19 and the virus's transmissibility from mother to foetus. The findings also revealed that the COVID-19 virus did not cause maternal death and that there were no cases of COVID-19 intrauterine transmission from mothers to their foetuses. Furthermore, neonatal specimens and placentas were tested negative for the virus in some cases. ",
"Is it safe to have cord blood, cord lining and cord tissue collected during this pandemic?","As cord blood will be collected by your caregiver immediately after the delivery of your baby, the collection of cord blood, cord lining, and cord tissue remains safe even during this pandemic period.

Emerging evidence is now suggesting that the risk of direct transmission at the point of delivery is low, and there was no detection of the COVID-19 virus strain within the maternal and neonatal samples that can be transmitted to the umbilical cord blood and cord tissue.9

In most, if not all, cases of COVID-19 human-to-human transmission globally, the virus is spread mainly through close interaction with an infected person, where respiratory secretions can enter the eyes, mouth, nose, or airways, and via the touching of a surface or an object that is contaminated with the respiratory droplets.10

Cordlife is listed as an essential service provider during this pandemic. Our laboratory operations remain unaffected, and we will adhere to the most stringent protocols to ensure that your baby’s cord blood, cord lining and cord tissue are safely collected, processed, and cryopreserved.",
Can Mesenchymal Stem Cells be used to treat COVID-19?,"At this juncture, there is little or no conclusive evidence to prove that Mesenchymal Stem Cells (MSCs) can help treat COVID-19. It is important to note that the major risk factor in COVID-19 mortality is the development of acute respiratory distress syndrome (ARDS) in critically ill patients, among other considerations such as age and pre-existing medical conditions.11 According to the European Respiratory Journal, MSC treatment was given to ARDS patients who had respiratory infections caused by the influenza virus (H7N1) and was found to be a viable treatment that resulted in a shorter ICU stay and faster recovery in patients11

A recent pilot study was conducted in Wuhan, China, in which seven COVID-19 patients received allogeneic Mesenchymal Stem Cells (MSC) infusions. Among the seven patients, three (two moderate and one severe) had recovered and were discharged 10 days after the treatment. The results may suggest that MSCs could be used to treat or significantly improve the patients' conditions. 12

The World Health Organization (WHO) and several U.S. agencies, led by the Centres for Disease Control and Prevention (CDC), are looking into using expanded MSCs as a possible treatment for COVID-19. 13 The limited but emerging evidence regarding MSCs in managing COVID-19 suggests an urgent mandate for more clinical trials to determine the direct impact these regenerative cells have on patient recovery, which may point in favour of uncovering the potential applications of MSCs to treat COVID-19.",
Why is there a change in GST rates?,The change in GST rate is due to a recent announcement made during Budget 2022 and the Singapore Government has announced a change in GST from the current 7% rate to 8% in 2023 and a subsequent revision to 9% in 2024.,
When will the new GST change from 7% to 8% take effect?,The new GST change from 7% to 8% will take effect from 1 January 2023 onwards.,
How will the GST change affect my payments to Cordlife in the future?,"For Existing Clients
The revision in GST rate will apply to clients who have opted for annual and installment payment plans. All invoices issued in Year 2023 onwards, will be at the prevailing 8% GST.

For New Enrolments from 1 January 2023
For clients who have enrolled from 1 January 2023 onwards, the prevailing 8% GST will be applicable to all elected payment plans.

For clients who have enrolled from 1 January 2023 onwards, the prevailing 8% GST will be applicable to all elected payment plans.
I have enrolled in Year 2022 but will only be delivering my Child in Year 2023. How would the change in GST affect me?
For clients who have enroled on or before 31 December 2022 but have an Estimated Delivery Date (EDD) in Year 2023, Cordlife will absorb the 1% GST increase.

The amount payable (before GST), will remain the same and it will be based on the elected payment plan and service(s). You may refer to the Schedule of Fees of your Service Agreement for more details.

To enjoy the 1% GST increase absorption, please ensure that full payment for your issued invoice is made within 2 months after your Child’s actual delivery date.",
"With the absorption of the 1% GST increase, what documents would I be expecting from Cordlife if I have enrolled on or before 31 December 2022 and will be delivering my Child in 2023?","Any enrolment on or before 31 December 2022 will be subject to the 7% GST rate. However, due to the requirements set forth by IRAS, Cordlife will be issuing a Credit Note to cancel out the initial invoice and to reissue a new invoice that reflects 8% GST rate.

There should be no change to the total amount payable based on the payment plan and service(s) you have elected during enrolment in Year 2022.",
What should I do if I am currently on an annual payment plan and would like to prepay in advance before the increase in GST?,"You can consider upgrading your current annual/instalment payment plan to our Preferential Plan* and complete the full payment before 31 December 2022 in order to enjoy the 7% GST rate.

*Terms and conditions apply",
"If I have opted for the 60-month plan, how would the GST change affect my payments?","For enrolment and invoices billed in Year 2022, it will be subject to the 7% GST rate, while enrolment and invoices billed from 1 January 2023 will be subject to 8% GST rate and subsequently, a 9% GST rate from 1 January 2024.",
